ticker,name,asset_type,asset_class,category,geography,sector,volatility,avg_volume,last_price,liquidity,sharpe_ratio,max_drawdown,listing_years,ann_return,expense_ratio,is_esg,reliability_score
XLRE,State Street Real Estate Select,ETF,Sector,equities,Global,Immobilier,0.17159078293788263,6381903.989361702,42.40999984741211,270656547.2150285,0.3901,-0.1674,3.0,0.0869,0.001,False,42.4
VGIT,Vanguard Intermediate-Term Trea,ETF,Fixed Income,bonds,Global,Obligations,0.050025044666523015,2843323.670212766,59.810001373291016,170059192.62013638,0.334,-0.0637,3.0,0.0367,0.001,False,42.7
XLP,State Street Consumer Staples S,ETF,Sector,equities,Global,Consommation Défensive,0.11923261584481247,13053926.329787234,84.58999633789062,1104231580.431796,0.5633,-0.1337,3.0,0.0872,0.001,False,48.6
XLI,State Street Industrial Select ,ETF,Sector,equities,Global,Industrie,0.1592394567372827,9998445.744680852,169.49000549316406,1694636624.1890604,1.2457,-0.1849,3.0,0.2184,0.001,False,57.7
URTH,iShares MSCI World ETF,ETF,Equities - US,equities,US,Multi-secteur,0.14037785925899596,283720.21276595746,186.02000427246094,52777635.190906934,1.3438,-0.1694,3.0,0.2086,0.001,False,71.4
IWDA.AS,iShares Core MSCI World UCITS E,ETF,Equities - Europe,equities,Europe,Multi-secteur,0.1293919398292142,133638.468503937,112.5999984741211,15047691.349627187,1.1804,-0.2159,3.0,0.1727,0.001,False,65.4
INDA,Ishares MSCI India ETF,ETF,Equities - Emerging Markets,equities,Emerging,Multi-secteur (Émergents),0.13316856765589638,4884569.414893617,49.27000045776367,240662737.30778694,0.5062,-0.1867,3.0,0.0874,0.001,False,43.3
ACWI,iShares MSCI ACWI ETF,ETF,Equities - US,equities,US,Multi-secteur,0.13937125750274212,3315786.835106383,142.94000244140625,473958578.3052891,1.3365,-0.1655,3.0,0.2063,0.001,False,76.4
TLT,iShares 20+ Year Treasury Bond ,ETF,Fixed Income,bonds,Global,Obligations,0.14456614839608822,37221924.734042555,87.13999938964844,3243518498.6060085,-0.3083,-0.2244,3.0,-0.0246,0.001,False,61.8
VOO,Vanguard S&P 500 ETF,ETF,Equities - US,equities,US,Multi-secteur,0.14661235629052033,6103287.10106383,622.030029296875,3796427854.2819734,1.3958,-0.1869,3.0,0.2246,0.001,False,81.5
KRE,State Street SPDR S&P Regional ,ETF,Equities - US,equities,US,Finance,0.30883364087954734,16765366.489361702,63.97999954223633,1072648140.314786,0.4677,-0.282,3.0,0.1645,0.001,False,44.3
XLE,State Street Energy Select Sect,ETF,Sector,equities,Global,Énergie,0.21766999470140844,35592612.234042555,56.97999954223633,2028067028.8027399,0.6443,-0.2014,3.0,0.1603,0.001,False,49.7
IBB,iShares Biotechnology ETF,ETF,Equities - US,equities,US,Santé,0.19374969374654963,1650557.4468085107,170.8699951171875,282030742.8768077,0.4766,-0.2485,3.0,0.1123,0.001,False,42.1
SCHD,Schwab US Dividend Equity ETF,ETF,Equities - US,equities,US,Multi-secteur,0.13356588705369402,13272908.909574468,31.0,411460176.1968085,0.8742,-0.1612,3.0,0.1368,0.001,False,50.0
PMEH.PA,Amundi PEA Immobilier Europe (F,ETF,Equities - Europe,equities,Europe,Autre,0.19160976877439986,9484.303267973855,12.89799976348877,122328.54130718255,0.2368,-0.2182,3.0,0.0654,0.001,False,21.8
XLB,State Street Materials Select S,ETF,Sector,equities,Global,Matières Premières,0.17007866912538536,11685446.542553192,49.84000015258789,582402657.4639087,0.5303,-0.2317,3.0,0.1102,0.001,False,44.8
ESE.PA,BNP Paribas Easy S&P 500 UCITS ,ETF,Equities - Europe,equities,Europe,Multi-secteur (Europe),0.14050142692390627,122794.0156862745,29.53179931640625,3626328.2285026996,1.1692,-0.2328,3.0,0.1843,0.001,False,41.7
SCHE,Schwab Emerging Markets Equity ,ETF,Equities - Emerging Markets,equities,Emerging,Multi-secteur (Émergents),0.1566454897364375,1408312.2340425532,33.81999969482422,47629119.32553636,0.9166,-0.1707,3.0,0.1636,0.001,False,45.4
QQQ,"Invesco QQQ Trust, Series 1",ETF,Equities - US,equities,US,Technologie,0.19543799491502578,46631535.63829787,607.6900024414062,28337518005.883755,1.3713,-0.2277,3.0,0.288,0.001,False,84.9
VWOB,Vanguard Emerging Markets Gover,ETF,Fixed Income,bonds,Global,Obligations,0.07021098854228974,522335.77127659577,66.94000244140625,34965157.804489136,1.0723,-0.077,3.0,0.0953,0.001,False,48.7
MBB,iShares MBS ETF,ETF,Equities - US,equities,US,Obligations,0.06575239024750085,2616131.7819148935,95.16000366210938,248951109.947582,0.3667,-0.0877,3.0,0.0441,0.001,False,43.5
TAN,Invesco Solar ETF,ETF,Equities - US,equities,US,Énergie,0.3797266667180678,1013174.8670212766,55.72999954223633,56464234.8753011,-0.2988,-0.666,3.0,-0.0935,0.001,False,23.7
